Movie_id,Movie_Name,Storyline,Budget,Language,Revenue,Image,Rating,Genre1,Genre2,Genre3,Cast1,Cast2,Cast3
610,Call Me by Your Name,"In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant.",4000000,English,41063475,https://image.tmdb.org/t/p/w220_and_h330_face/gXiE0WveDnT0n5J4sW9TMxXF4oT.jpg,82,Romance,Drama,unknown,Timothée Chalamet,Armie Hammer,Michael Stuhlbarg
611,The Book of Life,"The journey of Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart. Before choosing which path to follow, he embarks on an incredible adventure that spans three fantastical worlds where he must face his greatest fears.",50000000,English,97437106,https://image.tmdb.org/t/p/w220_and_h330_face/aotTZos5KswgCryEzx2rlOjFsm1.jpg,75,Animation,Adventure,Comedy,Diego Luna,Channing Tatum,Zoe Saldana
612,Dragon Ball Z: Super Android 13!,"Dr. Gero's Androids #13, #14, and #15 are awakened by the laboratory computers and immediately head to the mall where Goku is shopping. After Goku, Trunks, and Vegeta defeat #14 and #15, #13 absorbs their inner computers and becomes a super being greater than the original three separately were. Now it is up to Goku to stop him.",0,Japanese,18554927,https://image.tmdb.org/t/p/w220_and_h330_face/uVJqC187rKxQ1sJsWlKjNfAzeTk.jpg,67,Action,Animation,Science Fiction,Masako Nozawa,Ryou Horikawa,Takeshi Kusao
613,The Scientist,"An unconventional scientist, struggling to care for his terminally-ill wife, embarks on a journey to develop a cure for her. However, his methods of treatment and tampering with human DNA, could lead to the extinction of humanity.",0,English,0,https://image.tmdb.org/t/p/w220_and_h330_face/hIkKM1nlzk8DThFT4vxgW1KoofL.jpg,64,Horror,unknown,unknown,Robb Hudspeth,Kristin Keith,Addison McGarry
614,Photocopier,"When photos of her at a party cause her to lose a scholarship, a student investigates whether something devastating happened to her that night.",0,Indonesian,0,https://image.tmdb.org/t/p/w220_and_h330_face/wjNNm0eZKNZ40Fqlc9QewDxy0by.jpg,71,Drama,Mystery,Thriller,Shenina Cinnamon,Chicco Kurniawan,Lutesha
615,The Simpsons Movie,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",75000000,English,527068851,https://image.tmdb.org/t/p/w220_and_h330_face/gzb6P78zeFTnv9eoFYnaJ2YrZ5q.jpg,70,Animation,Comedy,Family,Dan Castellaneta,Julie Kavner,Nancy Cartwright
616,Escape Room: Tournament of Champions,"Six people unwittingly find themselves locked in another series of escape rooms, slowly uncovering what they have in common to survive as they discover all the games that they've played before.",15000000,English,44888959,https://image.tmdb.org/t/p/w220_and_h330_face/jGYJyPzVgrVV2bgClI9uvEZgVLE.jpg,67,Horror,Thriller,Mystery,Taylor Russell,Logan Miller,Indya Moore
617,The Incredibles,"Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.",92000000,English,631442092,https://image.tmdb.org/t/p/w220_and_h330_face/2LqaLgk4Z226KkgPJuiOQ58wvrm.jpg,77,Action,Adventure,Animation,Craig T. Nelson,Holly Hunter,Sarah Vowell
618,The Penitent Thief,"The story of the two unnamed men who were crucified alongside Jesus and how they came to be beside him on the cross that fateful day. Dismas and his brother Jotham, along with Gestas, another young man who will share their fate, suffer tragedy and injustice at the hands of a band of thieves and a ruthless Roman centurion. Theirs is a story of survival against the odds, but they cannot outrun their destiny.",0,English,23800,https://image.tmdb.org/t/p/w220_and_h330_face/bkUxZ9sFE7tn0NPRILqZVEPZRF9.jpg,54,Drama,unknown,unknown,Kevin Sorbo,James Russo,Major Dodge
619,The Pilgrim's Progress,"An epic journey, faithfully adapted to modern-day. Christian faces distractions, challenges, and perils at every turn of the way. But ends victorious, with helpful guides, as he stays on the narrow path to the distant Celestial City.",0,English,0,https://image.tmdb.org/t/p/w220_and_h330_face/vtfsNxAsDHElFvYHUc9Khwqg17Y.jpg,79,Animation,Adventure,unknown,David Thorpe,John Rhys-Davies,Kristyn Getty
620,The Roundup,"The sequel to the 2017 crime action movie The Outlaws"".""",0,Korean,32140000,https://image.tmdb.org/t/p/w220_and_h330_face/aTogcymFfYXYb2sx950ntIpgOJe.jpg,20,Crime,Action,unknown,Ma Dong-seok,Son Suk-ku,Choi Gwi-hwa
621,Mamá o papá,"Flora and Victor are fun, modern, caring parents. That is, until they decide to get a divorce, and the perfect job opportunity turns up for them. They now have one problem: custody.",0,Spanish,0,https://image.tmdb.org/t/p/w220_and_h330_face/yo4aBPuyWh8uB2VHPwK1O7R6WwO.jpg,74,Comedy,Family,unknown,Miren Ibarguren,Paco León,Sofía Oria
622,Prometheus,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.",130000000,English,403354469,https://image.tmdb.org/t/p/w220_and_h330_face/m7nZCtHJyDLncBUarfM5h5mrppx.jpg,65,Science Fiction,Adventure,Mystery,Noomi Rapace,Michael Fassbender,Charlize Theron
623,The Many Saints of Newark,"Young Anthony Soprano is growing up in one of the most tumultuous eras in Newark, N.J., history, becoming a man just as rival gangsters start to rise up and challenge the all-powerful DiMeo crime family. Caught up in the changing times is the uncle he idolizes, Dickie Moltisanti, whose influence over his nephew will help shape the impressionable teenager into the all-powerful mob boss, Tony Soprano.",0,English,11620603,https://image.tmdb.org/t/p/w220_and_h330_face/1UkbPQspPbq1FPbFP4VV1ELCfSN.jpg,66,Crime,Drama,unknown,Alessandro Nivola,Leslie Odom Jr.,Michael Gandolfini
624,We Bare Bears: The Movie,"When Grizz, Panda, and Ice Bear's love of food trucks and viral videos get out of hand, the brothers are now chased away from their home and embark on a trip to Canada, where they can live in peace.",0,English,0,https://image.tmdb.org/t/p/w220_and_h330_face/kPzcvxBwt7kEISB9O4jJEuBn72t.jpg,79,Family,Animation,Adventure,Eric Edelstein,Bobby Moynihan,Demetri Martin
