Language,Cast1,Cast2,Cast3,Genre1,Genre2,Genre3,Movie_Name,comb
Korean,Jang Ki-yong,Chae Soo-bin,Krystal Jung,Comedy,Romance,unknown,Sweet & Sour,Sweet & Sour Korean Jang Ki-yong Chae Soo-bin Krystal Jung Comedy Romance unknown
Japanese,Mahiro Takasugi,Lynn,Jun Fukushima,Animation,Drama,Romance,I Want to Eat Your Pancreas,I Want to Eat Your Pancreas Japanese Mahiro Takasugi Lynn Jun Fukushima Animation Drama Romance
English,Liam Neeson,Maggie Grace,Leland Orser,Action,Thriller,unknown,Taken,Taken English Liam Neeson Maggie Grace Leland Orser Action Thriller unknown
English,Eva Green,Asa Butterfield,Samuel L. Jackson,Fantasy,Adventure,Family,Miss Peregrine's Home for Peculiar Children,Miss Peregrine's Home for Peculiar Children English Eva Green Asa Butterfield Samuel L. Jackson Fantasy Adventure Family
English,Sterling Holloway,Herman Bing,John McLeish,Animation,Family,unknown,Dumbo,Dumbo English Sterling Holloway Herman Bing John McLeish Animation Family unknown
Chinese,Zhang Yishan,Tang Yan,Zhang Yibai,Action,Comedy,Family,Jackie Chan Kung Fu Master,Jackie Chan Kung Fu Master Chinese Zhang Yishan Tang Yan Zhang Yibai Action Comedy Family
Malayalam,Tovino Thomas,Guru Somasundaram,Harisree Ashokan,Action,Adventure,Comedy,Minnal Murali,Minnal Murali Malayalam Tovino Thomas Guru Somasundaram Harisree Ashokan Action Adventure Comedy
English,Henry Cavill,Amy Adams,Michael Shannon,Action,Adventure,Fantasy,Man of Steel,Man of Steel English Henry Cavill Amy Adams Michael Shannon Action Adventure Fantasy
English,Dominic Sherwood,Jacky Lai,McKinley Belcher III,Action,unknown,unknown,Eraser: Reborn,Eraser: Reborn English Dominic Sherwood Jacky Lai McKinley Belcher III Action unknown unknown
English,Diana Kaarina,Adrian Petriw,Tabitha St. Germain,Family,Animation,unknown,Barbie: A Fashion Fairytale,Barbie: A Fashion Fairytale English Diana Kaarina Adrian Petriw Tabitha St. Germain Family Animation unknown
English,Mia Wasikowska,Johnny Depp,Anne Hathaway,Family,Fantasy,Adventure,Alice in Wonderland,Alice in Wonderland English Mia Wasikowska Johnny Depp Anne Hathaway Family Fantasy Adventure
English,Yahya Abdul-Mateen II,Teyonah Parris,Colman Domingo,Horror,unknown,unknown,Candyman,Candyman English Yahya Abdul-Mateen II Teyonah Parris Colman Domingo Horror unknown unknown
English,Natasha Loring,Matt Kane,Richard Dillane,Adventure,Action,Horror,The Dinosaur Project,The Dinosaur Project English Natasha Loring Matt Kane Richard Dillane Adventure Action Horror
English,Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor,Action,Mystery,Thriller,Salt,Salt English Angelina Jolie Liev Schreiber Chiwetel Ejiofor Action Mystery Thriller
English,Bruce Reitherman,Phil Harris,Sebastian Cabot,Family,Animation,Adventure,The Jungle Book,The Jungle Book English Bruce Reitherman Phil Harris Sebastian Cabot Family Animation Adventure
English,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Action,Adventure,Science Fiction,Black Panther,Black Panther English Chadwick Boseman Michael B. Jordan Lupita Nyong'o Action Adventure Science Fiction
English,Mary Elizabeth Winstead,Ryan Merriman,Kris Lemche,Horror,Mystery,unknown,Final Destination 3,Final Destination 3 English Mary Elizabeth Winstead Ryan Merriman Kris Lemche Horror Mystery unknown
English,Ava Michelle,Griffin Gluck,Sabrina Carpenter,Comedy,Romance,unknown,Tall Girl 2,Tall Girl 2 English Ava Michelle Griffin Gluck Sabrina Carpenter Comedy Romance unknown
English,Donnie Dunagan,Peter Behn,Stan Alexander,Animation,Drama,Family,Bambi,Bambi English Donnie Dunagan Peter Behn Stan Alexander Animation Drama Family
English,Barry Pepper,Laura Vandervoort,Colm Feore,Action,Thriller,unknown,Trigger Point,Trigger Point English Barry Pepper Laura Vandervoort Colm Feore Action Thriller unknown
English,Craig T. Nelson,Holly Hunter,Sarah Vowell,Action,Adventure,Animation,Incredibles 2,Incredibles 2 English Craig T. Nelson Holly Hunter Sarah Vowell Action Adventure Animation
English,Jamie Foxx,Gerard Butler,Colm Meaney,Drama,Crime,Thriller,Law Abiding Citizen,Law Abiding Citizen English Jamie Foxx Gerard Butler Colm Meaney Drama Crime Thriller
English,Niki Koss,Zachary Gordon,Travis Burns,Horror,Mystery,Thriller,Dreamcatcher,Dreamcatcher English Niki Koss Zachary Gordon Travis Burns Horror Mystery Thriller
English,Steve Carell,Kristen Wiig,Trey Parker,Action,Animation,Comedy,Despicable Me 3,Despicable Me 3 English Steve Carell Kristen Wiig Trey Parker Action Animation Comedy
English,Ellen Muth,Jasmine Guy,Callum Blue,Drama,Fantasy,Comedy,Dead Like Me: Life After Death,Dead Like Me: Life After Death English Ellen Muth Jasmine Guy Callum Blue Drama Fantasy Comedy
English,Kristen Stewart,Robert Pattinson,Taylor Lautner,Adventure,Fantasy,Drama,The Twilight Saga: New Moon,The Twilight Saga: New Moon English Kristen Stewart Robert Pattinson Taylor Lautner Adventure Fantasy Drama
Turkish,İpek Filiz Yazıcı,Mert Ramazan Demir,Ferit Aktuğ,Drama,Romance,unknown,UFO,UFO Turkish İpek Filiz Yazıcı Mert Ramazan Demir Ferit Aktuğ Drama Romance unknown
English,Mark Calaway,Kofi Sarkodie-Mensah,Austin Watson,Horror,Mystery,Family,Escape the Undertaker,Escape the Undertaker English Mark Calaway Kofi Sarkodie-Mensah Austin Watson Horror Mystery Family
English,Jessica Brown Findlay,John Heffernan,John Lynch,Horror,unknown,unknown,The Banishing,The Banishing English Jessica Brown Findlay John Heffernan John Lynch Horror unknown unknown
English,Christian Bale,Michael Caine,Liam Neeson,Action,Crime,Drama,Batman Begins,Batman Begins English Christian Bale Michael Caine Liam Neeson Action Crime Drama
English,unknown,unknown,unknown,Animation,Drama,Adventure,Away,Away English unknown unknown unknown Animation Drama Adventure
English,Adrien Brody,Cam Gigandet,Forest Whitaker,Thriller,Drama,unknown,The Experiment,The Experiment English Adrien Brody Cam Gigandet Forest Whitaker Thriller Drama unknown
Spanish,Vadhir Derbez,Bárbara López,Arturo Barba,Comedy,unknown,unknown,El mesero,El mesero Spanish Vadhir Derbez Bárbara López Arturo Barba Comedy unknown unknown
English,Anton Yelchin,Addison Timlin,Willem Dafoe,Mystery,Thriller,unknown,Odd Thomas,Odd Thomas English Anton Yelchin Addison Timlin Willem Dafoe Mystery Thriller unknown
English,Kelly Sheridan,Catherine O'Hara,Christopher Gaze,Animation,Family,unknown,Barbie in The 12 Dancing Princesses,Barbie in The 12 Dancing Princesses English Kelly Sheridan Catherine O'Hara Christopher Gaze Animation Family unknown
Chinese,Zhang Jie,Xinzhu Tong,Kang Liu,Animation,Action,Adventure,The King's Avatar: For the Glory,The King's Avatar: For the Glory Chinese Zhang Jie Xinzhu Tong Kang Liu Animation Action Adventure
English,Nicole Kidman,Amber Heard,James Wan,Documentary,unknown,unknown,Aquaman: Heroines of Atlantis,Aquaman: Heroines of Atlantis English Nicole Kidman Amber Heard James Wan Documentary unknown unknown
English,Ben Stiller,Chris Rock,David Schwimmer,Family,Animation,Adventure,Madagascar,Madagascar English Ben Stiller Chris Rock David Schwimmer Family Animation Adventure
Japanese,Rumi Hiiragi,Miyu Irino,Mari Natsuki,Animation,Family,Fantasy,Spirited Away,Spirited Away Japanese Rumi Hiiragi Miyu Irino Mari Natsuki Animation Family Fantasy
Korean,Um Tae-goo,Jeon Yeo-been,Cha Seung-won,Crime,Drama,Thriller,Night in Paradise,Night in Paradise Korean Um Tae-goo Jeon Yeo-been Cha Seung-won Crime Drama Thriller
Finnish,Siiri Solalinna,Sophia Heikkilä,Jani Volanen,Fantasy,Horror,unknown,Hatching,Hatching Finnish Siiri Solalinna Sophia Heikkilä Jani Volanen Fantasy Horror unknown
English,Kate Siegel,Jason O'Mara,Dulé Hill,Thriller,Drama,Horror,Hypnotic,Hypnotic English Kate Siegel Jason O'Mara Dulé Hill Thriller Drama Horror
English,Bradley Cooper,Robert De Niro,Abbie Cornish,Thriller,Mystery,Science Fiction,Limitless,Limitless English Bradley Cooper Robert De Niro Abbie Cornish Thriller Mystery Science Fiction
English,Elijah Wood,Robin Williams,Brittany Murphy,Animation,Comedy,Family,Happy Feet,Happy Feet English Elijah Wood Robin Williams Brittany Murphy Animation Comedy Family
Japanese,Wasabi Mizuta,Megumi Oohara,Yumi Kakazu,Animation,Family,Science Fiction,Stand by Me Doraemon,Stand by Me Doraemon Japanese Wasabi Mizuta Megumi Oohara Yumi Kakazu Animation Family Science Fiction
Japanese,Masako Nozawa,Kazuyuki Sogabe,Yuko Mita,Animation,Action,Science Fiction,Dragon Ball Z: Bardock - The Father of Goku,Dragon Ball Z: Bardock - The Father of Goku Japanese Masako Nozawa Kazuyuki Sogabe Yuko Mita Animation Action Science Fiction
English,Hugh Jackman,Dafne Keen,Patrick Stewart,Action,Drama,Science Fiction,Logan,Logan English Hugh Jackman Dafne Keen Patrick Stewart Action Drama Science Fiction
English,Shaffy Bello-Akinrimisi,Funke Akindele,Joke Silva,Comedy,unknown,unknown,Chief Daddy 2: Going for Broke,Chief Daddy 2: Going for Broke English Shaffy Bello-Akinrimisi Funke Akindele Joke Silva Comedy unknown unknown
English,Frances McDormand,Raymond Ochoa,Jeffrey Wright,Adventure,Animation,Family,The Good Dinosaur,The Good Dinosaur English Frances McDormand Raymond Ochoa Jeffrey Wright Adventure Animation Family
